"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Enfield","E09000010","Upper tier local authority","2020-04-14",4,570
"Essex","E10000012","Upper tier local authority","2020-04-14",2,1646
"Gateshead","E08000037","Upper tier local authority","2020-04-14",2,492
"Gloucestershire","E10000013","Upper tier local authority","2020-04-14",4,768
"Greenwich","E09000011","Upper tier local authority","2020-04-14",14,509
"Hackney","E09000012","Upper tier local authority","2020-04-14",5,522
"Halton","E06000006","Upper tier local authority","2020-04-14",7,226
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-14",1,405
"Hampshire","E10000014","Upper tier local authority","2020-04-14",30,1848
"Haringey","E09000014","Upper tier local authority","2020-04-14",3,428
"Harrow","E09000015","Upper tier local authority","2020-04-14",1,696
"Hartlepool","E06000001","Upper tier local authority","2020-04-14",1,79
"Havering","E09000016","Upper tier local authority","2020-04-14",8,505
"Herefordshire, County of","E06000019","Upper tier local authority","2020-04-14",3,127
"Hertfordshire","E10000015","Upper tier local authority","2020-04-14",6,1609
"Hillingdon","E09000017","Upper tier local authority","2020-04-14",2,554
"Hounslow","E09000018","Upper tier local authority","2020-04-14",2,509
"Islington","E09000019","Upper tier local authority","2020-04-14",3,337
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-14",2,376
"Kent","E10000016","Upper tier local authority","2020-04-14",29,1957
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-14",14,175
"Kirklees","E08000034","Upper tier local authority","2020-04-14",15,376
"Knowsley","E08000011","Upper tier local authority","2020-04-14",7,339
"Lambeth","E09000022","Upper tier local authority","2020-04-14",5,950
"Lancashire","E10000017","Upper tier local authority","2020-04-14",6,1769
"Leeds","E08000035","Upper tier local authority","2020-04-14",10,743
"Leicester","E06000016","Upper tier local authority","2020-04-14",8,427
"Leicestershire","E10000018","Upper tier local authority","2020-04-14",10,581
"Lewisham","E09000023","Upper tier local authority","2020-04-14",7,728
"Lincolnshire","E10000019","Upper tier local authority","2020-04-14",12,531
"Liverpool","E08000012","Upper tier local authority","2020-04-14",12,1010
"Medway","E06000035","Upper tier local authority","2020-04-14",8,428
"Merton","E09000024","Upper tier local authority","2020-04-14",1,526
